Date,Close,Volume,ema
2023-04-25,93.7,1879,87.386
2023-04-26,93.68,923,88.41
2023-04-27,93.0,967,89.46400000000001
2023-04-28,92.84,1392,90.148
2023-05-02,91.52,273,90.71
2023-05-03,92.0,1106,91.363
2023-05-04,92.44,2080,92.20700000000001
2023-05-05,91.07,362,92.347
2023-05-08,91.01,1883,92.518
2023-05-09,88.5,1550,91.976
2023-05-10,86.01,1494,91.20700000000001
2023-05-11,86.16,4647,90.45500000000001
2023-05-12,86.9,448,89.845
2023-05-15,86.25,243,89.186
2023-05-16,87.65,483,88.799
2023-05-17,86.6,1284,88.259
2023-05-18,88.0,848,87.815
2023-05-19,89.0,505,87.608
2023-05-22,87.85,894,87.292
2023-05-23,88.34,804,87.27600000000001
2023-05-24,86.9,555,87.365
2023-05-25,87.7,334,87.519
2023-05-26,88.7,4921,87.699
2023-05-29,89.59,3191,88.033
2023-05-30,90.11,2448,88.27900000000001
2023-05-31,93.57,5861,88.976
2023-06-01,103.95,17238,90.571
2023-06-02,103.41,14051,92.012
